Time,Date,Day of the week,Traffic Situation,vehicle_count,queue_length,avg_speed_kmph,avg_wait_time_s,predicted_increase_target
5:15:00 AM,11,Wednesday,normal,113.0,0.0,50.0,0.0,0.0
5:30:00 AM,11,Wednesday,low,81.0,0.0,50.0,0.0,73.0
5:45:00 AM,11,Wednesday,normal,154.0,0.0,50.0,0.0,0.0
6:00:00 AM,11,Wednesday,normal,146.0,0.0,50.0,0.0,13.0
6:15:00 AM,11,Wednesday,normal,159.0,0.0,50.0,0.0,13.0
6:30:00 AM,11,Wednesday,heavy,172.0,0.0,50.0,0.0,0.0
6:45:00 AM,11,Wednesday,normal,139.0,0.0,50.0,0.0,0.0
7:00:00 AM,11,Wednesday,normal,134.0,0.0,50.0,0.0,10.0
7:15:00 AM,11,Wednesday,normal,144.0,0.0,50.0,0.0,42.0
7:30:00 AM,11,Wednesday,heavy,186.0,5.9999999999999885,45.00000000000001,14.99999999999997,0.0
7:45:00 AM,11,Wednesday,heavy,171.0,0.0,50.0,0.0,11.0
8:00:00 AM,11,Wednesday,heavy,182.0,1.999999999999988,48.33333333333334,4.99999999999997,2.0
8:15:00 AM,11,Wednesday,heavy,184.0,4.000000000000001,46.666666666666664,10.000000000000002,0.0
8:30:00 AM,11,Wednesday,normal,137.0,0.0,50.0,0.0,44.0
8:45:00 AM,11,Wednesday,heavy,181.0,0.9999999999999815,49.16666666666668,2.4999999999999534,0.0
9:00:00 AM,11,Wednesday,high,121.0,0.0,50.0,0.0,0.0
9:15:00 AM,11,Wednesday,low,92.0,0.0,50.0,0.0,0.0
9:30:00 AM,11,Wednesday,normal,78.0,0.0,50.0,0.0,16.0
9:45:00 AM,11,Wednesday,normal,94.0,0.0,50.0,0.0,0.0
10:00:00 AM,11,Wednesday,normal,84.0,0.0,50.0,0.0,27.0
10:15:00 AM,11,Wednesday,normal,111.0,0.0,50.0,0.0,1.0
10:30:00 AM,11,Wednesday,normal,112.0,0.0,50.0,0.0,0.0
10:45:00 AM,11,Wednesday,normal,69.0,0.0,50.0,0.0,33.0
11:00:00 AM,11,Wednesday,normal,102.0,0.0,50.0,0.0,0.0
11:15:00 AM,11,Wednesday,normal,74.0,0.0,50.0,0.0,12.0
11:30:00 AM,11,Wednesday,normal,86.0,0.0,50.0,0.0,7.0
11:45:00 AM,11,Wednesday,normal,93.0,0.0,50.0,0.0,0.0
12:00:00 PM,11,Wednesday,normal,77.0,0.0,50.0,0.0,0.0
12:15:00 PM,11,Wednesday,normal,72.0,0.0,50.0,0.0,30.0
12:30:00 PM,11,Wednesday,normal,102.0,0.0,50.0,0.0,5.0
12:45:00 PM,11,Wednesday,normal,107.0,0.0,50.0,0.0,0.0
1:00:00 PM,11,Wednesday,normal,107.0,0.0,50.0,0.0,28.0
1:15:00 PM,11,Wednesday,normal,135.0,0.0,50.0,0.0,0.0
1:30:00 PM,11,Wednesday,normal,114.0,0.0,50.0,0.0,26.0
1:45:00 PM,11,Wednesday,normal,140.0,0.0,50.0,0.0,0.0
2:00:00 PM,11,Wednesday,normal,70.0,0.0,50.0,0.0,90.0
2:15:00 PM,11,Wednesday,high,160.0,0.0,50.0,0.0,0.0
2:30:00 PM,11,Wednesday,normal,79.0,0.0,50.0,0.0,0.0
2:45:00 PM,11,Wednesday,normal,68.0,0.0,50.0,0.0,28.0
3:00:00 PM,11,Wednesday,normal,96.0,0.0,50.0,0.0,25.0
3:15:00 PM,11,Wednesday,high,121.0,0.0,50.0,0.0,0.0
3:30:00 PM,11,Wednesday,normal,118.0,0.0,50.0,0.0,46.0
3:45:00 PM,11,Wednesday,normal,164.0,0.0,50.0,0.0,5.0
4:00:00 PM,11,Wednesday,heavy,169.0,0.0,50.0,0.0,10.0
4:15:00 PM,11,Wednesday,heavy,179.0,0.0,50.0,0.0,0.0
4:30:00 PM,11,Wednesday,heavy,179.0,0.0,50.0,0.0,0.0
4:45:00 PM,11,Wednesday,heavy,168.0,0.0,50.0,0.0,9.0
5:00:00 PM,11,Wednesday,heavy,177.0,0.0,50.0,0.0,8.0
5:15:00 PM,11,Wednesday,heavy,185.0,4.999999999999982,45.83333333333335,12.499999999999956,2.0
5:30:00 PM,11,Wednesday,heavy,187.0,6.999999999999995,44.16666666666667,17.499999999999986,0.0
5:45:00 PM,11,Wednesday,normal,167.0,0.0,50.0,0.0,0.0
6:00:00 PM,11,Wednesday,normal,152.0,0.0,50.0,0.0,27.0
6:15:00 PM,11,Wednesday,heavy,179.0,0.0,50.0,0.0,0.0
6:30:00 PM,11,Wednesday,normal,119.0,0.0,50.0,0.0,2.0
6:45:00 PM,11,Wednesday,normal,121.0,0.0,50.0,0.0,0.0
7:00:00 PM,11,Wednesday,normal,99.0,0.0,50.0,0.0,15.0
7:15:00 PM,11,Wednesday,high,114.0,0.0,50.0,0.0,40.0
7:30:00 PM,11,Wednesday,high,154.0,0.0,50.0,0.0,0.0
7:45:00 PM,11,Wednesday,normal,120.0,0.0,50.0,0.0,12.0
8:00:00 PM,11,Wednesday,normal,132.0,0.0,50.0,0.0,0.0
8:15:00 PM,11,Wednesday,normal,112.0,0.0,50.0,0.0,8.0
8:30:00 PM,11,Wednesday,normal,120.0,0.0,50.0,0.0,0.0
8:45:00 PM,11,Wednesday,low,89.0,0.0,50.0,0.0,39.0
9:00:00 PM,11,Wednesday,normal,128.0,0.0,50.0,0.0,7.0
9:15:00 PM,11,Wednesday,normal,135.0,0.0,50.0,0.0,0.0
9:30:00 PM,11,Wednesday,low,78.0,0.0,50.0,0.0,0.0
9:45:00 PM,11,Wednesday,normal,53.0,0.0,50.0,0.0,0.0
10:00:00 PM,11,Wednesday,normal,42.0,0.0,50.0,0.0,0.0
10:15:00 PM,11,Wednesday,normal,38.0,0.0,50.0,0.0,3.0
10:30:00 PM,11,Wednesday,normal,41.0,0.0,50.0,0.0,0.0
10:45:00 PM,11,Wednesday,normal,40.0,0.0,50.0,0.0,0.0
11:00:00 PM,11,Wednesday,normal,37.0,0.0,50.0,0.0,0.0
11:15:00 PM,11,Wednesday,normal,34.0,0.0,50.0,0.0,11.0
11:30:00 PM,11,Wednesday,normal,45.0,0.0,50.0,0.0,0.0
11:45:00 PM,11,Wednesday,normal,33.0,0.0,50.0,0.0,13.0
12:00:00 AM,12,Thursday,normal,46.0,0.0,50.0,0.0,0.0
12:15:00 AM,12,Thursday,normal,44.0,0.0,50.0,0.0,0.0
12:30:00 AM,12,Thursday,normal,33.0,0.0,50.0,0.0,0.0
12:45:00 AM,12,Thursday,normal,32.0,0.0,50.0,0.0,18.0
1:00:00 AM,12,Thursday,normal,50.0,0.0,50.0,0.0,0.0
1:15:00 AM,12,Thursday,normal,44.0,0.0,50.0,0.0,7.0
1:30:00 AM,12,Thursday,normal,51.0,0.0,50.0,0.0,0.0
1:45:00 AM,12,Thursday,normal,44.0,0.0,50.0,0.0,0.0
2:00:00 AM,12,Thursday,normal,32.0,0.0,50.0,0.0,18.0
2:15:00 AM,12,Thursday,normal,50.0,0.0,50.0,0.0,0.0
2:30:00 AM,12,Thursday,normal,30.0,0.0,50.0,0.0,22.0
2:45:00 AM,12,Thursday,normal,52.0,0.0,50.0,0.0,0.0
3:00:00 AM,12,Thursday,normal,48.0,0.0,50.0,0.0,0.0
3:15:00 AM,12,Thursday,normal,48.0,0.0,50.0,0.0,0.0
3:30:00 AM,12,Thursday,normal,48.0,0.0,50.0,0.0,4.0
3:45:00 AM,12,Thursday,normal,52.0,0.0,50.0,0.0,71.0
4:00:00 AM,12,Thursday,normal,123.0,0.0,50.0,0.0,0.0
4:15:00 AM,12,Thursday,low,81.0,0.0,50.0,0.0,0.0
4:30:00 AM,12,Thursday,low,77.0,0.0,50.0,0.0,39.0
4:45:00 AM,12,Thursday,normal,116.0,0.0,50.0,0.0,0.0
5:00:00 AM,12,Thursday,low,90.0,0.0,50.0,0.0,9.0
5:15:00 AM,12,Thursday,normal,99.0,0.0,50.0,0.0,0.0
5:30:00 AM,12,Thursday,low,90.0,0.0,50.0,0.0,45.0
5:45:00 AM,12,Thursday,normal,135.0,0.0,50.0,0.0,45.0
6:00:00 AM,12,Thursday,heavy,180.0,0.0,50.0,0.0,0.0
6:15:00 AM,12,Thursday,normal,157.0,0.0,50.0,0.0,12.0
6:30:00 AM,12,Thursday,heavy,169.0,0.0,50.0,0.0,20.0
6:45:00 AM,12,Thursday,heavy,189.0,8.999999999999982,42.500000000000014,22.499999999999954,0.0
7:00:00 AM,12,Thursday,normal,150.0,0.0,50.0,0.0,0.0
7:15:00 AM,12,Thursday,normal,132.0,0.0,50.0,0.0,46.0
7:30:00 AM,12,Thursday,heavy,178.0,0.0,50.0,0.0,0.0
7:45:00 AM,12,Thursday,normal,141.0,0.0,50.0,0.0,48.0
8:00:00 AM,12,Thursday,heavy,189.0,8.999999999999982,42.500000000000014,22.499999999999954,6.0
8:15:00 AM,12,Thursday,heavy,195.0,14.999999999999996,37.5,37.499999999999986,0.0
8:30:00 AM,12,Thursday,heavy,179.0,0.0,50.0,0.0,0.0
8:45:00 AM,12,Thursday,normal,146.0,0.0,50.0,0.0,0.0
9:00:00 AM,12,Thursday,normal,124.0,0.0,50.0,0.0,0.0
9:15:00 AM,12,Thursday,high,114.0,0.0,50.0,0.0,4.0
9:30:00 AM,12,Thursday,normal,118.0,0.0,50.0,0.0,0.0
9:45:00 AM,12,Thursday,low,77.0,0.0,50.0,0.0,9.0
10:00:00 AM,12,Thursday,normal,86.0,0.0,50.0,0.0,10.0
10:15:00 AM,12,Thursday,normal,96.0,0.0,50.0,0.0,8.0
10:30:00 AM,12,Thursday,low,104.0,0.0,50.0,0.0,0.0
10:45:00 AM,12,Thursday,normal,99.0,0.0,50.0,0.0,8.0
11:00:00 AM,12,Thursday,normal,107.0,0.0,50.0,0.0,0.0
11:15:00 AM,12,Thursday,normal,78.0,0.0,50.0,0.0,23.0
11:30:00 AM,12,Thursday,normal,101.0,0.0,50.0,0.0,14.0
11:45:00 AM,12,Thursday,high,115.0,0.0,50.0,0.0,0.0
12:00:00 PM,12,Thursday,normal,89.0,0.0,50.0,0.0,0.0
12:15:00 PM,12,Thursday,normal,85.0,0.0,50.0,0.0,0.0
12:30:00 PM,12,Thursday,normal,85.0,0.0,50.0,0.0,0.0
12:45:00 PM,12,Thursday,normal,69.0,0.0,50.0,0.0,9.0
1:00:00 PM,12,Thursday,low,78.0,0.0,50.0,0.0,21.0
1:15:00 PM,12,Thursday,normal,99.0,0.0,50.0,0.0,29.0
1:30:00 PM,12,Thursday,normal,128.0,0.0,50.0,0.0,0.0
1:45:00 PM,12,Thursday,normal,84.0,0.0,50.0,0.0,24.0
2:00:00 PM,12,Thursday,normal,108.0,0.0,50.0,0.0,39.0
2:15:00 PM,12,Thursday,normal,147.0,0.0,50.0,0.0,0.0
2:30:00 PM,12,Thursday,normal,120.0,0.0,50.0,0.0,8.0
2:45:00 PM,12,Thursday,normal,128.0,0.0,50.0,0.0,30.0
3:00:00 PM,12,Thursday,high,158.0,0.0,50.0,0.0,0.0
3:15:00 PM,12,Thursday,normal,107.0,0.0,50.0,0.0,11.0
3:30:00 PM,12,Thursday,normal,118.0,0.0,50.0,0.0,57.0
3:45:00 PM,12,Thursday,heavy,175.0,0.0,50.0,0.0,16.0
4:00:00 PM,12,Thursday,heavy,191.0,10.999999999999996,40.833333333333336,27.49999999999999,6.0
4:15:00 PM,12,Thursday,heavy,197.0,16.999999999999986,35.83333333333334,42.499999999999964,0.0
4:30:00 PM,12,Thursday,heavy,185.0,4.999999999999982,45.83333333333335,12.499999999999956,0.0
4:45:00 PM,12,Thursday,heavy,177.0,0.0,50.0,0.0,0.0
5:00:00 PM,12,Thursday,heavy,170.0,0.0,50.0,0.0,19.0
5:15:00 PM,12,Thursday,heavy,189.0,8.999999999999982,42.500000000000014,22.499999999999954,21.0
5:30:00 PM,12,Thursday,heavy,210.0,29.999999999999993,25.000000000000007,74.99999999999997,0.0
5:45:00 PM,12,Thursday,heavy,191.0,10.999999999999996,40.833333333333336,27.49999999999999,0.0
6:00:00 PM,12,Thursday,heavy,172.0,0.0,50.0,0.0,0.0
6:15:00 PM,12,Thursday,normal,163.0,0.0,50.0,0.0,0.0
6:30:00 PM,12,Thursday,normal,139.0,0.0,50.0,0.0,0.0
6:45:00 PM,12,Thursday,normal,112.0,0.0,50.0,0.0,25.0
7:00:00 PM,12,Thursday,normal,137.0,0.0,50.0,0.0,0.0
7:15:00 PM,12,Thursday,normal,105.0,0.0,50.0,0.0,9.0
7:30:00 PM,12,Thursday,normal,114.0,0.0,50.0,0.0,0.0
7:45:00 PM,12,Thursday,low,81.0,0.0,50.0,0.0,31.0
8:00:00 PM,12,Thursday,normal,112.0,0.0,50.0,0.0,15.0
8:15:00 PM,12,Thursday,normal,127.0,0.0,50.0,0.0,0.0
8:30:00 PM,12,Thursday,normal,119.0,0.0,50.0,0.0,0.0
8:45:00 PM,12,Thursday,high,119.0,0.0,50.0,0.0,0.0
9:00:00 PM,12,Thursday,normal,77.0,0.0,50.0,0.0,28.0
9:15:00 PM,12,Thursday,normal,105.0,0.0,50.0,0.0,0.0
9:30:00 PM,12,Thursday,normal,103.0,0.0,50.0,0.0,0.0
9:45:00 PM,12,Thursday,normal,43.0,0.0,50.0,0.0,8.0
10:00:00 PM,12,Thursday,normal,51.0,0.0,50.0,0.0,2.0
10:15:00 PM,12,Thursday,normal,53.0,0.0,50.0,0.0,0.0
10:30:00 PM,12,Thursday,normal,46.0,0.0,50.0,0.0,0.0
10:45:00 PM,12,Thursday,normal,42.0,0.0,50.0,0.0,0.0
11:00:00 PM,12,Thursday,normal,28.0,0.0,50.0,0.0,6.0
11:15:00 PM,12,Thursday,normal,34.0,0.0,50.0,0.0,4.0
11:30:00 PM,12,Thursday,normal,38.0,0.0,50.0,0.0,0.0
11:45:00 PM,12,Thursday,normal,32.0,0.0,50.0,0.0,17.0
12:00:00 AM,13,Friday,normal,49.0,0.0,50.0,0.0,0.0
12:15:00 AM,13,Friday,normal,46.0,0.0,50.0,0.0,0.0
12:30:00 AM,13,Friday,normal,41.0,0.0,50.0,0.0,4.0
12:45:00 AM,13,Friday,normal,45.0,0.0,50.0,0.0,0.0
1:00:00 AM,13,Friday,normal,37.0,0.0,50.0,0.0,11.0
1:15:00 AM,13,Friday,normal,48.0,0.0,50.0,0.0,0.0
1:30:00 AM,13,Friday,normal,41.0,0.0,50.0,0.0,4.0
1:45:00 AM,13,Friday,normal,45.0,0.0,50.0,0.0,1.0
2:00:00 AM,13,Friday,normal,46.0,0.0,50.0,0.0,0.0
2:15:00 AM,13,Friday,normal,44.0,0.0,50.0,0.0,0.0
2:30:00 AM,13,Friday,normal,34.0,0.0,50.0,0.0,12.0
2:45:00 AM,13,Friday,normal,46.0,0.0,50.0,0.0,8.0
3:00:00 AM,13,Friday,normal,54.0,0.0,50.0,0.0,0.0
3:15:00 AM,13,Friday,normal,32.0,0.0,50.0,0.0,14.0
3:30:00 AM,13,Friday,normal,46.0,0.0,50.0,0.0,0.0
3:45:00 AM,13,Friday,normal,44.0,0.0,50.0,0.0,46.0
4:00:00 AM,13,Friday,normal,90.0,0.0,50.0,0.0,23.0
4:15:00 AM,13,Friday,high,113.0,0.0,50.0,0.0,20.0
4:30:00 AM,13,Friday,high,133.0,0.0,50.0,0.0,0.0
4:45:00 AM,13,Friday,normal,74.0,0.0,50.0,0.0,57.0
5:00:00 AM,13,Friday,high,131.0,0.0,50.0,0.0,0.0
5:15:00 AM,13,Friday,normal,96.0,0.0,50.0,0.0,0.0
5:30:00 AM,13,Friday,normal,95.0,0.0,50.0,0.0,42.0
5:45:00 AM,13,Friday,high,137.0,0.0,50.0,0.0,0.0
6:00:00 AM,13,Friday,normal,106.0,0.0,50.0,0.0,21.0
6:15:00 AM,13,Friday,high,127.0,0.0,50.0,0.0,0.0
6:30:00 AM,13,Friday,normal,56.0,0.0,50.0,0.0,34.0
6:45:00 AM,13,Friday,normal,90.0,0.0,50.0,0.0,0.0
7:00:00 AM,13,Friday,normal,88.0,0.0,50.0,0.0,0.0
7:15:00 AM,13,Friday,normal,75.0,0.0,50.0,0.0,13.0
7:30:00 AM,13,Friday,normal,88.0,0.0,50.0,0.0,36.0
7:45:00 AM,13,Friday,high,124.0,0.0,50.0,0.0,4.0
8:00:00 AM,13,Friday,high,128.0,0.0,50.0,0.0,1.0
8:15:00 AM,13,Friday,high,129.0,0.0,50.0,0.0,0.0
8:30:00 AM,13,Friday,high,121.0,0.0,50.0,0.0,0.0
8:45:00 AM,13,Friday,normal,104.0,0.0,50.0,0.0,100.0
9:00:00 AM,13,Friday,heavy,204.0,23.99999999999998,30.000000000000014,59.99999999999994,0.0
9:15:00 AM,13,Friday,heavy,179.0,0.0,50.0,0.0,0.0
9:30:00 AM,13,Friday,heavy,178.0,0.0,50.0,0.0,8.0
9:45:00 AM,13,Friday,heavy,186.0,5.9999999999999885,45.00000000000001,14.99999999999997,0.0
10:00:00 AM,13,Friday,heavy,177.0,0.0,50.0,0.0,35.0
10:15:00 AM,13,Friday,heavy,212.0,31.999999999999982,23.33333333333335,79.99999999999996,0.0
10:30:00 AM,13,Friday,heavy,197.0,16.999999999999986,35.83333333333334,42.499999999999964,0.0
10:45:00 AM,13,Friday,normal,163.0,0.0,50.0,0.0,17.0
11:00:00 AM,13,Friday,heavy,180.0,0.0,50.0,0.0,0.0
11:15:00 AM,13,Friday,normal,155.0,0.0,50.0,0.0,12.0
11:30:00 AM,13,Friday,normal,167.0,0.0,50.0,0.0,22.0
11:45:00 AM,13,Friday,heavy,189.0,8.999999999999982,42.500000000000014,22.499999999999954,0.0
12:00:00 PM,13,Friday,heavy,180.0,0.0,50.0,0.0,4.0
12:15:00 PM,13,Friday,heavy,184.0,4.000000000000001,46.666666666666664,10.000000000000002,0.0
12:30:00 PM,13,Friday,heavy,170.0,0.0,50.0,0.0,15.0
12:45:00 PM,13,Friday,heavy,185.0,4.999999999999982,45.83333333333335,12.499999999999956,0.0
1:00:00 PM,13,Friday,normal,157.0,0.0,50.0,0.0,22.0
1:15:00 PM,13,Friday,heavy,179.0,0.0,50.0,0.0,0.0
